device_type
Amazon Kindle Fire 7
Apple iPhone 6
Apple iPhone 6s
Apple iPhone 7 Plus
Apple iPad Air 2
Apple iPhone 7
Amazon Kindle Fire HD
Apple iPad Air
Apple iPad Mini
Apple iPad 2
Apple iPhone 6s Plus
Apple iPhone 5s
Apple iPad Mini 2
Apple iPhone 6 Plus
Samsung Galaxy S6
Samsung Galaxy S7
Apple iPad 4
Samsung Galaxy S7 Edge
Apple iPad Pro
Apple iPad 5
Apple iPhone SE
Samsung Galaxy A5
Samsung Galaxy S8
Samsung Galaxy J7
Apple iPad 3
Amazon Fire HD 8
Samsung Galaxy S5
Samsung Galaxy J3
Apple iPhone 8 Plus
Samsung Galaxy J5
Amazon Kindle Fire HDX
Samsung Galaxy Tab E
Samsung Galaxy J7 Prime
Apple iPad Mini 4
Apple iPhone 5
Samsung Galaxy Grand Prime
Samsung Galaxy Tab A 10.1
Samsung Galaxy A3
Apple iPhone X
Huawei Phone
Samsung Galaxy J5 (2016)
Apple iPhone 5c
Samsung Galaxy S8+
Samsung Galaxy Tab A 9.7
Samsung Galaxy Tab A
Apple iPhone 8
Apple iPhone 4s
Samsung Galaxy Note 4
Samsung Galaxy Note 5
Samsung Galaxy S4
Huawei P9 Lite
Samsung Galaxy Note 3
Samsung Galaxy J7 2016
Amazon Kindle Fire
Samsung Galaxy J2 Prime
Samsung Galaxy Note 8
Samsung Galaxy S8+ Duos
Samsung Galaxy Tab 4 10.1
LG Aristo
Samsung Galaxy Grand Neo
LG K10
Samsung Galaxy J7 Duos
ZTE Zmax Pro
Xiaomi Redmi Note 4
Apple iPad Mini 3
Samsung Galaxy Core Prime
Samsung Galaxy J2
Samsung Galaxy J5 Prime
LG K20 Plus
Oppo F1S
Samsung Galaxy Tab 3 10.1
Samsung Galaxy S6 Edge+
Huawei P8 Lite
Motorola Moto G
Samsung Galaxy Tab 4 7.0
Oppo A37F
Motorola Moto G4
Samsung Galaxy J1
Samsung Galaxy Tab 3 Lite 7.0
Samsung Galaxy J3 Emerge
Huawei P10 Lite
Motorola Moto G4 Play
Samsung Galaxy Tab 2 10.1
Samsung Galaxy Tab 3 7.0
Samsung Galaxy A7
Samsung Galaxy S III
Samsung Galaxy J2 Duos
Motorola Moto G5
Samsung Galaxy S III Neo
Samsung Galaxy Tab 3 Lite
Motorola Moto E4
Samsung Galaxy J3 Prime
Xiaomi Redmi 4A
Samsung Galaxy Tab S2
Samsung Galaxy S5 Mini
Samsung Galaxy S5 Neo
Samsung Galaxy Tab S2 9.7
LG Tribute HD
Samsung Galaxy On5
LG Stylo 2
Apple iPod Touch 6G
Huawei P9
LG K10 2017
Samsung Galaxy Tab 3 8.0
LG G5
Huawei Y5II
Samsung Galaxy Note 10.1
Xiaomi Redmi Note 3
LG Stylo 3
Apple iPhone 4
Oppo Neo 7
Motorola Moto G5 Plus
LG G3
Samsung Galaxy Note II
Motorola Moto G 2nd Gen
Samsung Galaxy S III Mini
Samsung Galaxy J1 Mini
Samsung Galaxy Tab 2 7.0
LG V20
Samsung Galaxy Tab 4 8.0
Verizon Ellipsis
Samsung Galaxy S4 Mini
Samsung Galaxy Tab A 7.0
LG Fortune
Samsung Galaxy Tab S 10.5
Samsung Galaxy Grand Prime Plus
Xiaomi Redmi Premium Edition
Oppo A57
LG G4
Huawei Y6II
Xiaomi Redmi 3S
Xiaomi Redmi 4
LG X power
LG K7
Samsung Galaxy J1 Ace SM
Huawei P10 Standard Edition
Samsung Galaxy Grand 2
Apple iPod Touch 5G
Sony Xperia XA
Alcatel One Touch Pixi 4
Huawei Honor 5A
LG K350 K8
Google Nexus 7
LG Stylo 2 Plus Smartphone
Lenovo Vibe K5
Lenovo Tab 2 A10
Motorola Moto Z
Samsung Galaxy S7 Active
LG G Pad 7.0
Motorola Droid Turbo 2
Alcatel Fierce 4
RCA 10 Viking Pro
Huawei Mediapad T1 7.0
Sony Xperia Z3
Samsung Galaxy J1 Ace
Sony Xperia E5
Samsung Galaxy Tab E 7.0
Samsung Galaxy J3 V 2016
LG G Stylo
Samsung Galaxy S6 Edge
Vivo V5
Apple iPad Pro 2
Lenovo TAB 2 A10-70
Samsung Galaxy Core
Lenovo Tab 3
Wiko Lenny 3
LG G6
Lenovo IdeaTab A10-70
Samsung Galaxy J3 Luna Pro
Huawei P8 Standard Edition
ASUS ZenFone 2
LG Stylo 3 Plus
Lenovo Tab 3 Essential
Motorola Droid Turbo
Huawei Mate 9
ZTE Trek 2 HD
Samsung Galaxy J1 Ace Neo
Motorola Moto E
Motorola Moto Z Play Droid
ASUS ZenFone 2 Laser
Samsung Galaxy Tab 4
Samsung Galaxy J7 Sky Pro
RCA Tablet
Motorola Moto X
Samsung Galaxy Tab A 8.0
Huawei G8
Samsung Galaxy J7 V
LG X Power
Oppo Neo 5
Samsung Galaxy S6 Active
Mediapad T1 7.0
